SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
58,Abbas Chhatriwala,MUMBAI SOUTH,Jan Adhikar Party,0,10th Pass,"Rs 50,40,147","Rs 0, "
59,Abdallah Ibrahim,SECUNDERABAD,IND,0,12th Pass,"Rs 1,02,38,358","Rs 0, "
60,Abdual Rashid Ganie,SRINAGAR,Jammu & Kashmir National Panthers Party,0,8th Pass,"Rs 3,25,000","Rs 0, "
61,Abdul Ajij,DARBHANGA,IND,,8th Pass,"Rs 4,35,000","Rs 0, "
62,Abdul Asiph,KOTA,IND,0,8th Pass,"Rs 1,63,000","Rs 0, "
63,Abdul Azeem,SECUNDERABAD,IND,0,10th Pass,Nil,"Rs 0, "
64,Abdul Azeez,BANGALORE NORTH,Karnataka Pragnyavantha Janatha Party,0,8th Pass,"Rs 6,22,054","Rs 58,000, "
65,Abdul Aziz,KALIABOR,NPP,0,Graduate,"Rs 35,94,488","Rs 0, "
66,Abdul Bari Siddiqui,DARBHANGA,RJD,0,12th Pass,"Rs 2,11,27,716","Rs 9,11,152, "
67,Abdul Baseeth,MAYILADUTHURAI,IND,0,Graduate,"Rs 44,415","Rs 0, "
68,Abdul Basheer,BANGALORE NORTH,IND,0,10th Pass,"Rs 13,50,000","Rs 1,01,32,000, "
69,Abdul Hameed,DAKSHINA KANNADA,IND,0,5th Pass,"Rs 6,68,000","Rs 0, "
70,Abdul Hannan Sardar,BASIRHAT,IND,0,5th Pass,"Rs 10,67,000","Rs 0, "
71,Abdul Jabbar K K,KANNUR,SDPI,,10th Pass,"Rs 34,10,000","Rs 0, "
72,Abdul Kadir Mastan Sayyed,HINGOLI,IND,0,8th Pass,"Rs 7,00,000","Rs 0, "
73,Abdul Karim Hashimpeer Desai,BANGALORE NORTH,IND,0,Post Graduate,"Rs 1,65,99,316","Rs 1,24,00,000, "
74,Abdul Khader,ERNAKULAM,Samajwadi Forward Bloc,0,8th Pass,"Rs 34,97,836","Rs 0, "
75,Abdul Khader Haji,LAKSHADWEEP,BJP,0,5th Pass,"Rs 3,88,24,182","Rs 0, "
76,Abdul Khaleque,BARPETA,INC,0,Post Graduate,"Rs 73,98,753","Rs 27,03,693, "
77,Abdul Khaliq Bhat,SRINAGAR,SHS,0,8th Pass,"Rs 50,25,000","Rs 0, "
78,Abdul Majeed Faizy,MALAPPURAM,SDPI,,10th Pass,"Rs 12,03,908","Rs 0, "
79,Abdul Nazeer Sab,DAVANAGERE,IND,0,5th Pass,"Rs 16,28,000","Rs 80,000, "
80,Abdul Qayoom Wani,BARAMULLA,Jammu & Kashmir Peoples Democratic Party,0,Graduate Professional,"Rs 1,65,56,983","Rs 4,73,600, "
81,Abdul Qayyum Siddiqui,JHALAWAR BARAN,IND,0,Graduate,"Rs 14,81,364","Rs 4,73,069, "
