SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities 
2293,Godwin Shadrach S R,SRIPERUMBUDUR,Tamizhaga Murpokku Makkal Katchi,0,Graduate Professional,"Rs 9,66,412","Rs 4,60,000, "
2294,Gogula Pulakunta Jayanth,HINDUPUR,IND,0,Graduate,"Rs 31,96,142","Rs 16,710, "
2295,Gohil Rinku,VADODARA,Yuva Jan Jagriti Party,0,12th Pass,"Rs 28,99,350","Rs 14,00,000, "
2296,Gokinapalli Venkateswarlu,KHAMMAM,IND,0,5th Pass,"Rs 39,68,500","Rs 45,000, "
2297,Gokul Singh,SHAHDOL,IND,0,Illiterate,"Rs 50,000","Rs 0, "
2298,Golla Baburao,BAPATLA,IND,0,Post Graduate,"Rs 78,000","Rs 0, "
2299,Gollu Krishna,MACHILIPATNAM,INC,,Others,"Rs 87,95,000","Rs 1,14,00,000, "
2300,Goltar Bhagvanbhai Maiyabhai,SURENDRANAGAR,IND,,Illiterate,"Rs 27,78,407","Rs 2,50,000, "
2301,Gomathy,IDUKKI,IND,,8th Pass,"Rs 1,36,000","Rs 90,000, "
2302,Gomati,RAIGARH,BJP,0,12th Pass,"Rs 70,43,539","Rs 0, "
2303,Gomati Dharampal Kataria,CHURU,Bharat Rakshak Party (Democratic),0,Literate,"Rs 1,82,12,900","Rs 13,50,000, "
2304,Gona Purushottam Reddy,KADAPA,IND,,Graduate,"Rs 2,24,73,647","Rs 92,06,703, "
2305,Gopakumar,THIRUVANANTHAPURAM,IND,0,10th Pass,"Rs 3,10,533","Rs 10,500, "
2306,Gopal Balavantrao Desai,BELGAUM,IND,0,10th Pass,"Rs 58,00,000","Rs 2,50,000, "
2307,Gopal Chinnaya Shetty,MUMBAI NORTH,BJP,,5th Pass,"Rs 15,75,35,232","Rs 2,11,36,135, "
2308,Gopal Dhakad,CHITTORGARH,Right to Recall Party,0,12th Pass,"Rs 53,14,571","Rs 4,65,369, "
2309,Gopal M,ERODE,BSP,0,8th Pass,"Rs 4,65,000","Rs 2,10,000, "
2310,Gopal Mani,TEHRI GARHWAL,IND,0,Post Graduate,"Rs 1,80,29,611","Rs 0, "
2311,Gopal Naskar,JADAVPUR,Rashtriya Janasachetan Party,0,10th Pass,"Rs 1,64,100","Rs 0, "
2312,Gopal Prasad,AMETHI,IND,,12th Pass,"Rs 2,01,577","Rs 0, "
2313,Gopal Prasad Sahu,HAZARIBAGH,INC,0,Graduate,"Rs 34,61,74,281","Rs 2,18,67,709, "
2314,Gopal Ram Kharwar,BALLIA,Gondvana Gantantra Party,0,12th Pass,"Rs 11,12,644","Rs 0, "
2315,Gopal Raut,BARRACKPUR,IND,,8th Pass,"Rs 1,32,66,243","Rs 61,29,247, "
2316,Gopal Singh Shekhawat,CHITTORGARH,INC,0,Graduate Professional,"Rs 45,94,912","Rs 0, "
2317,Gopal Swaroop Gandhi,AMETHI,Kisan Majdoor Berojgar Sangh,0,Post Graduate,"Rs 23,24,000","Rs 0, "
2318,Gopalakrishnan M,MADURAI,IND,,10th Pass,"Rs 2,04,05,000","Rs 11,88,000, "
2319,Gopalakrishnan S,MADURAI,IND,0,10th Pass,"Rs 38,20,725","Rs 9,35,427, "
2320,Gopalakrishnan. V,TIRUCHIRAPPALLI,IND,0,Post Graduate,"Rs 25,000","Rs 0, "
2321,Gopaljee Thakur,DARBHANGA,BJP,0,Post Graduate,"Rs 1,93,01,808","Rs 10,39,660, "
2322,Gopalkumar Ganeshu Kashyap,NAGPUR,Chhattisgarh Swabhiman Manch,0,12th Pass,"Rs 75,000","Rs 0, "
2323,Gopichand Kundlik Padalkar,SANGLI,Vanchit Bahujan Aaghadi,,12th Pass,"Rs 1,03,72,000","Rs 42,000, "
2324,Gopin Soren,RAJMAHAL,CPI(M),0,Graduate,"Rs 24,02,310","Rs 10,000, "
2325,Gopoju Ramesh Babu,KHAMMAM,Telangana Communist Party of India,0,Others,"Rs 20,000","Rs 0, "
2326,Gorakh Ram,KARAKAT,Voters Party International,,Post Graduate,"Rs 40,04,164","Rs 0, "
2327,Gorakhram Nishad,AZAMGARH,Bahujan Uday Manch,0,10th Pass,"Rs 21,52,000","Rs 65,000, "
2328,Gore Netaji Nagnathrao,OSMANABAD,IND,,Others,"Rs 3,35,32,000","Rs 44,00,000, "
2329,Gosai Rasikpragat Samjupragat,AMRELI,IND,0,8th Pass,"Rs 66,39,063","Rs 0, "
2330,Goskula Mahesh Babu,NIZAMABAD,IND,0,10th Pass,"Rs 2,60,000","Rs 0, "
2331,Gottumukkala Shivaji,NARSAPURAM,IND,0,Post Graduate,"Rs 80,84,000","Rs 0, "
2332,Gour Chandra (Akhan) Hembram,BANKURA,Jharkhand Peoples Party,0,Post Graduate,"Rs 46,80,000","Rs 9,00,000, "
2333,Gour Chandra Majumder,ANDAMAN AND NICOBAR ISLANDS,IND,0,Graduate,"Rs 60,62,000","Rs 0, "
2334,Gouranga Chatterjee,ASANSOL,CPI(M),,Post Graduate,"Rs 16,18,401","Rs 0, "
2335,Govind Ramrao Deshmukh,PARBHANI,IND,,8th Pass,"Rs 12,43,347","Rs 0, "
2336,Govind Singh,GWALIOR,IND,0,12th Pass,"Rs 5,68,513","Rs 0, "
2337,Govinda Rao Lagudu,VIZIANAGARAM,Jana Jagruti Party,0,Doctorate,"Rs 2,80,456","Rs 0, "
2338,Govindan B Alinthazhe,KASARAGOD,IND,0,Literate,"Rs 17,000","Rs 0, "
2339,"Govindan, A.",VIRUDHUNAGAR,IND,0,8th Pass,"Rs 72,000","Rs 0, "
2340,Govindasamy A,KALLAKURICHI,IND,0,8th Pass,"Rs 4,60,000","Rs 2,45,500, "
2341,Govindbhai Laxmanbhai Rathod,NAVSARI,IND,0,5th Pass,"Rs 17,65,000","Rs 2,30,000, "
2342,Govindraj L,CHENNAI CENTRAL,IND,0,Graduate Professional,"Rs 70,15,000","Rs 53,00,000, "
2343,Guddappa,SHIMOGA,BSP,,5th Pass,"Rs 31,00,000","Rs 1,50,000, "
2344,Guddi Kinnar,KUSHI NAGAR,IND,0,Literate,"Rs 3,62,500","Rs 0, "
2345,Gudivaka Ramanjaneyulu	,MACHILIPATNAM,BJP,0,Graduate,"Rs 3,26,95,161","Rs 1,05,00,000, "
2346,Gudivaka Venkata Naga Basava Rao,MACHILIPATNAM,IND,0,12th Pass,"Rs 1,03,75,500","Rs 18,30,000, "
2347,Gugan Singh,NORTH WEST DELHI,AAP,0,8th Pass,"Rs 1,28,53,787","Rs 0, "
2348,Gugulothu Ramesh,KHAMMAM,IND,,Post Graduate,"Rs 14,40,000","Rs 3,97,000, "
2349,Guharam Ajgalle,JANJGIR CHAMPA,BJP,0,Graduate Professional,"Rs 1,84,00,837","Rs 0, "
2350,Gujjula Eswaraiah,KADAPA,CPI,,Post Graduate,"Rs 3,27,881","Rs 1,00,000, "
2351,Gujjula Ramesh,NIZAMABAD,IND,0,8th Pass,"Rs 40,94,000","Rs 11,00,000, "
2352,Gulab Sehlot,CHITTORGARH,IND,0,12th Pass,"Rs 18,96,720","Rs 0, "
2353,Gulab Singh,ALWAR,Poorvanchal Rashtriya Congress,0,Graduate,"Rs 9,21,40,000","Rs 0, "
2354,Gulab Singh @ Vivek,JABALPUR,IND,0,8th Pass,"Rs 1,71,000","Rs 0, "
2355,Gulab Yadav,JHANJHARPUR,RJD,,Literate,"Rs 9,68,21,512","Rs 1,67,77,175, "
2356,Gulabrao Baburao Deokar,JALGAON,NCP,,10th Pass,"Rs 5,06,52,517","Rs 85,52,661, "
2357,Gulsingh Ramsingh Kawache,DHAR,BSP,0,Post Graduate,"Rs 1,19,19,939","Rs 14,00,000, "
2358,Gulzar Singh Ranike,FARIDKOT,SAD,,Literate,"Rs 8,29,57,653","Rs 0, "
2359,Guman Singh,MANDI,IND,0,Graduate Professional,"Rs 1,40,00,000","Rs 28,00,000, "
2360,Guman Singh Damor	,RATLAM,BJP,0,Graduate Professional,"Rs 4,20,72,262","Rs 48,90,940, "
2361,Guman Singh Poya,SURGUJA,Ambedkarite Party of India,0,12th Pass,"Rs 1,07,500","Rs 0, "
2362,Gummerla Vijay,NIZAMABAD,IND,0,Illiterate,"Rs 10,40,000","Rs 0, "
2363,Gunasekar N,CHENNAI CENTRAL,IND,,10th Pass,"Rs 1,75,000","Rs 0, "
2364,Gunasingh,THENI,IND,0,10th Pass,"Rs 42,43,808","Rs 0, "
2365,Gunavant Deopare,AMRAVATI,Vanchit Bahujan Aaghadi,,Others,"Rs 35,19,44,996","Rs 7,91,39,288, "
2366,Gundlakunta Sreeramulu,KADAPA,INC,0,12th Pass,"Rs 1,64,52,000","Rs 11,30,000, "
2367,Gur Prasad,BAHRAICH,IND,0,10th Pass,"Rs 15,21,000","Rs 1,00,000, "
2368,Guradi Srinivas,NIZAMABAD,IND,0,10th Pass,"Rs 3,95,000","Rs 0, "
2369,Gurbachan Singh,FATEHGARH SAHIB,Samaj Adhikar Kalyan Party,0,10th Pass,"Rs 6,26,480","Rs 8,00,000, "
2370,Gurbinder Singh,ANANDPUR SAHIB,Peoples Party of India (Democratic),0,12th Pass,"Rs 2,59,176","Rs 23,644, "
2371,Gurcharan Singh,BATHINDA,IND,0,8th Pass,"Rs 1,69,000","Rs 0, "
2372,Gurcharan Singh Machhiwara,FATEHGARH SAHIB,IND,0,12th Pass,"Rs 6,74,100","Rs 0, "
2373,Gurjeet Singh,SANGRUR,IND,,10th Pass,"Rs 76,60,938","Rs 6,21,812, "
2374,Gurjeet Singh Aujla,AMRITSAR,INC,0,12th Pass,"Rs 3,40,11,739","Rs 90,31,565, "
2375,Gurjit Singh,FATEHGARH SAHIB,Sarvjan Sewa Party,0,10th Pass,"Rs 5,25,867","Rs 0, "
2376,Gurmail Singh,BATHINDA,IND,0,12th Pass,"Rs 8,62,400","Rs 0, "
2377,Gurmail Singh,CHANDIGARH,AIFB,,10th Pass,"Rs 1,80,00,000","Rs 27,50,000, "
2378,Gurmeet Singh Insa,BATHINDA,Punjab Labour Party,,12th Pass,"Rs 37,30,000","Rs 0, "
2379,Gurnam Singh,PATIALA,IND,0,Graduate Professional,"Rs 2,26,47,000","Rs 0, "
2380,Gurnam Singh,SANGRUR,CPI(ML)(L),0,12th Pass,"Rs 13,62,826","Rs 3,81,162, "
2381,Gurram Papi Reddy,CHEVELLA,Ambedkar National Congress,0,12th Pass,"Rs 21,52,500","Rs 0, "
2382,Gursagar Singh,JAMMU,Navarang Congress Party,0,12th Pass,"Rs 4,54,00,000","Rs 35,30,000, "
2383,Gursewak Singh,BATHINDA,SAD (Amritsar)(Simranjit Singh Mann),0,12th Pass,"Rs 70,86,500","Rs 80,000, "
2384,Guru Dada Lokesh,DURG,IND,0,Post Graduate,"Rs 60,05,000","Rs 0, "
2385,Guru Gokulchand Rashtarwadi,JHUNJHUNU,IND,0,12th Pass,Nil,"Rs 0, "
2386,"Guru, K.",THOOTHUKKUDI,IND,0,8th Pass,"Rs 40,000","Rs 0, "
2387,Gurubasava. P . Rabakavi,BIJAPUR,Uttama Prajaakeeya Party,0,12th Pass,"Rs 21,000","Rs 92,000, "
2388,Gurugubilli Rambabu,NARSAPURAM,Marxist Communist Party of India (United),0,5th Pass,"Rs 30,000","Rs 0, "
2389,Gurulingaiah,MANDYA,Indian New Congress Party,0,10th Pass,"Rs 2,000","Rs 0, "
2390,Gurunadha Rao Jetti,ELURU,INC,0,Graduate,"Rs 6,96,00,598","Rs 24,02,881, "
2391,Gurupal Singh,JALANDHAR,Bharat Prabhat Party,0,12th Pass,"Rs 45,000","Rs 0, "
2392,Gurusamy P,CHIDAMBARAM,IND,,Graduate,"Rs 15,86,600","Rs 4,50,200, "
2393,Guruviah K,NAGAPATTINAM,Makkal Needhi Maiam,0,Graduate Professional,"Rs 68,39,043","Rs 97,731, "
2394,Gyaneshwar Gajbhiye,CHHINDWARA,BSP,0,10th Pass,"Rs 33,61,876","Rs 0, "
2395,Gyani Jaiswal,SIDHI,IND,0,8th Pass,"Rs 10,26,900","Rs 0, "
2396,H B Manjappa,DAVANAGERE,INC,0,10th Pass,"Rs 3,08,95,000","Rs 14,12,482, "
2397,H Eshwarappa,DAVANAGERE,IND,0,Literate,"Rs 21,20,000","Rs 0, "
2398,H M Chandregowda,HASSAN,Uttama Prajaakeeya Party,0,12th Pass,"Rs 12,47,18,018","Rs 2,60,75,626, "
2399,H. D. Devegowda,TUMKUR,JD(S),0,Others,"Rs 6,00,84,453","Rs 97,98,283, "
2400,H. Suresh Poojary,DAKSHINA KANNADA,IND,0,5th Pass,"Rs 2,77,000","Rs 0, "
2401,H.Narayana,MANDYA,IND,0,Literate,"Rs 95,000","Rs 0, "
2402,H.Raja,SIVAGANGA,BJP,,Graduate Professional,"Rs 2,62,23,393","Rs 59,10,000, "
2403,H.T. Chikkaraju,BANGALORE RURAL,IND,0,10th Pass,"Rs 40,50,000","Rs 12,50,000, "
2404,Habeeb Mohamed. U,MAYILADUTHURAI,All Pensioner’s Party,0,10th Pass,"Rs 10,10,000","Rs 0, "
2405,Habib Gayas Shaikh,AURANGABAD,Ambedkar National Congress,0,10th Pass,"Rs 2,95,000","Rs 6,000, "
2406,Habibur Rehaman Obbadur Khan,KALYAN,Peace Party,0,10th Pass,"Rs 58,87,500","Rs 0, "
2407,Hafiz Ali,GONDA,Peace Party,,Graduate,"Rs 1,21,17,018","Rs 4,61,35,930, "
2408,Hafiz Burhanuddin,EAST DELHI,The National Road Map Party of India,0,Post Graduate,"Rs 66,45,000","Rs 0, "
2409,Hairschandra Teli (Sahu),BILASPUR,IND,0,10th Pass,"Rs 2,50,000","Rs 0, "
2410,Haji Farooq Ahmad Mir,BARAMULLA,INC,0,8th Pass,"Rs 1,27,77,435","Rs 0, "
2411,Haji Fazlur Rehman,SAHARANPUR,BSP,0,Graduate,"Rs 4,61,46,135","Rs 60,000, "
2412,Haji Mohammad Yaqoob,MEERUT,BSP,,8th Pass,"Rs 8,97,93,968","Rs 0, "
2413,Haji Mustak Ansari,INDORE,IND,,5th Pass,"Rs 1,06,000","Rs 0, "
2414,Haji Sk Abdul Istar,BALASORE,AITC,0,Graduate Professional,"Rs 25,21,000","Rs 0, "
2415,Halpati Rajeshbhai Bhanabhai,DADRA AND NAGAR HAVELI,Navsarjan Bharat Party,0,12th Pass,Nil,"Rs 0, "
2416,Hamir Vinjuda,MUMBAI SOUTH,Bahujan Republican Socialist Party,0,10th Pass,"Rs 35,24,909","Rs 0, "
2417,Hamsa Devineni,ANANTAPUR,BJP,0,Post Graduate,"Rs 87,62,212","Rs 17,00,000, "
2418,Haneef,BARMER,IND,0,Literate,"Rs 1,01,000","Rs 0, "
2419,Haneef Khan,RAMPUR,IND,0,10th Pass,"Rs 8,47,312","Rs 0, "
2420,Hangkhanpau Taithul,OUTER MANIPUR,JD(U),0,Post Graduate,"Rs 36,01,000","Rs 15,16,567, "
2421,Hanifbhai Kayabhai Katiya,SURENDRANAGAR,IND,0,5th Pass,"Rs 55,000","Rs 0, "
2422,Hanmandlu Puppala,NIZAMABAD,IND,0,Illiterate,"Rs 11,05,000","Rs 0, "
2423,Hanoman Prassad Mishra,SHRAWASTI,Kisan Mazdoor Sangharsh Party,,12th Pass,"Rs 86,000","Rs 0, "
2424,Hans Kumar,GURGAON,Rashtriya Rashtrawadi Party,0,10th Pass,"Rs 12,94,270","Rs 0, "
2425,Hans Raj Golden,FIROZPUR,CPI,,12th Pass,"Rs 28,50,000","Rs 0, "
2426,Hans Raj Hans,NORTH WEST DELHI,BJP,0,10th Pass,"Rs 13,09,37,732","Rs 4,78,97,494, "
2427,Hanuman Beniwal,NAGAUR,Rashtriya Loktantrik Party,0,Graduate Professional,"Rs 42,18,568","Rs 0, "
2428,Hanuman Ram,NAGAUR,Rashtriya Power Party,0,8th Pass,"Rs 1,45,000","Rs 0, "
2429,Hanumant Singh,GWALIOR,Aajad Bharat Party (Democratic),0,12th Pass,"Rs 42,16,000","Rs 0, "
2430,Hanumanthappa D Kabbar,HAVERI,IND,0,12th Pass,"Rs 13,87,000","Rs 55,000, "
2431,Hanur Nagaraju,CHAMARAJANAGAR,Uttama Prajaakeeya Party,0,Post Graduate,"Rs 5,50,100","Rs 98,000, "
2432,Happy Singh,BHIWANI MAHENDRAGARH,IND,0,Illiterate,"Rs 3,83,000","Rs 0, "
2433,Harbalwinder Singh,EAST DELHI,IND,0,Post Graduate,"Rs 14,33,03,628","Rs 0, "
2434,Harbhajan Singh Rajpoot,GUNA,Bharat Prabhat Party,0,Graduate Professional,"Rs 2,51,000","Rs 0, "
2435,Harbhajan Singh Virk,PATIALA,IND,0,Post Graduate,"Rs 2,41,44,336","Rs 0, "
2436,Harchand Singh,FATEHGARH SAHIB,Revolutionary Socialist Party,0,5th Pass,"Rs 20,000","Rs 0, "
2437,Hardeep Singh Puri,AMRITSAR,BJP,0,Post Graduate,"Rs 34,05,05,737","Rs 5,79,40,950, "
2438,Harekrishna Sarkar,JALPAIGURI,IND,,Doctorate,"Rs 40,90,011","Rs 17,47,681, "
2439,Harekrishna Sarkar,COOCH BEHAR,IND,,Doctorate,"Rs 40,90,011","Rs 17,47,681, "
2440,Harendra Agarwal,MEERUT,INC,,Graduate,"Rs 11,58,01,988","Rs 36,86,064, "
2441,Harendra Singh Malik,KAIRANA,INC,0,Graduate,"Rs 5,72,66,147","Rs 50,82,884, "
2442,Haresh Manubhai Sardhara,JUNAGADH,IND,0,Graduate,"Rs 7,69,762","Rs 0, "
2443,Haresh Sambhaji Bramhane,KALYAN,Bahujan Republican Socialist Party,0,12th Pass,"Rs 61,800","Rs 0, "
2444,Hareshbhai Babubhai Vegad,BHAVNAGAR,IND,,Literate,"Rs 74,15,000","Rs 37,00,000, "
2445,Hari Arumbil,PALAKKAD,BSP,0,Graduate,"Rs 2,10,000","Rs 0, "
2446,Hari Bhai Patel,VARANASI,Aam Janta Party (India),0,Graduate,"Rs 91,59,721","Rs 0, "
2447,Hari Chand,FARIDABAD,Peoples Party of India (Democratic),0,Graduate,"Rs 45,79,000","Rs 0, "
2448,Hari Lal,SULTANPUR,Rastriya Insaaf Party,0,10th Pass,"Rs 4,97,224","Rs 0, "
2449,Hari Mitter,JALANDHAR,Peoples Party of India (Democratic),0,5th Pass,"Rs 8,03,049","Rs 0, "
2450,Hari Orawn,SINGHBHUM,Kalinga Sena,,Graduate,"Rs 25,52,400","Rs 11,10,385, "
2451,Hari Shankar Rajvans,FARIDABAD,Adim Bhartiya Dal,0,Graduate Professional,"Rs 11,63,364","Rs 2,90,000, "
2452,Hari Singh,CHURU,BSP,0,12th Pass,"Rs 1,81,03,000","Rs 7,95,000, "
2453,Hari Singh,BADAUN,IND,0,12th Pass,"Rs 11,76,000","Rs 3,00,000, "
2454,Haribhakta Sardar,JALPAIGURI,SUCI(C),,10th Pass,"Rs 32,19,966","Rs 0, "
2455,Harichandra Nagoji Mangam,GADCHIROLI CHIMUR,BSP,0,12th Pass,"Rs 50,10,301","Rs 0, "
2456,Hariharan Dr R,KARUR,Makkal Needhi Maiam,0,Graduate Professional,"Rs 66,71,252","Rs 30,61,250, "
2457,Hariharan.K,SALEM,IND,0,Graduate Professional,"Rs 6,42,000","Rs 25,000, "
2458,Harinarayan,GHOSI,BJP,0,Literate,"Rs 3,43,41,628","Rs 28,00,000, "
2459,Hariom,ETAH,IND,0,12th Pass,"Rs 26,70,854","Rs 31,08,762, "
2460,Haripada Biswas,BARASAT,AIFB,0,12th Pass,"Rs 1,18,90,602","Rs 0, "
2461,Haripal Bairwa,JAIPUR,IND,0,8th Pass,"Rs 70,70,000","Rs 0, "
2462,Hariram Shakya,MAINPURI,Voters Party International,0,Post Graduate,"Rs 1,28,16,866","Rs 0, "
2463,Harish Chandra Alias Harish Dwivedi,BASTI,BJP,,Post Graduate,"Rs 86,62,344","Rs 3,22,490, "
2464,Harish Halli,DAVANAGERE,IND,0,12th Pass,"Rs 46,26,000","Rs 0, "
2465,Harish Kumar,KOTA,BSP,0,Graduate,"Rs 1,20,80,000","Rs 6,00,000, "
2466,Harish Kumar,KAIRANA,IND,0,8th Pass,"Rs 98,82,500","Rs 0, "
2467,Harish Kumar Dhakar,JHALAWAR BARAN,IND,,Graduate,"Rs 62,52,517","Rs 4,23,263, "
2468,Harish Kumar Mandwa,BILASPUR,IND,0,Graduate Professional,"Rs 2,44,000","Rs 0, "
2469,Harish Rawat,NAINITAL-UDHAMSINGH NAGAR,INC,,Graduate Professional,"Rs 5,67,35,244","Rs 1,07,12,888, "
2470,Harishankar Yadav,MUMBAI NORTH WEST,Aapki Apni Party (Peoples),0,10th Pass,"Rs 12,000","Rs 5,46,000, "
2471,Harishchandra Dattu Patil,PARBHANI,Sangharsh Sena,0,Graduate,"Rs 51,88,300","Rs 10,00,000, "
2472,Harisingh Sidar,KANKER,IND,0,10th Pass,"Rs 10,80,000","Rs 1,00,000, "
2473,Harji Lal Meena,UDAIPUR,Ambedkarite Party of India,0,Graduate,"Rs 2,65,000","Rs 5,000, "
2474,Harjinder Singh,AMRITSAR,IND,0,Illiterate,"Rs 16,000","Rs 0, "
2475,Harjinder Singh Kaka Sran,FIROZPUR,AAP,0,Graduate,"Rs 61,22,270","Rs 2,00,000, "
2476,Harjit Kaur,KHADOOR SAHIB,IND,0,10th Pass,"Rs 3,20,000","Rs 0, "
2477,Harka Bahadur Chhetri,DARJEELING,All India Jana Andolan Party,,Doctorate,"Rs 1,08,44,249","Rs 0, "
2478,Harkisor Kori,BHIND,IND,0,Illiterate,"Rs 2,00,000","Rs 0, "
2479,Harkrishan Das Nijhawan,NEW DELHI,IND,,12th Pass,"Rs 3,61,67,926","Rs 5,75,000, "
2480,Harmander Singh,FIROZPUR,Samaj Adhikar Kalyan Party,0,5th Pass,"Rs 6,86,500","Rs 0, "
2481,Harmesh Sharma,ANANDPUR SAHIB,Jai Jawan Jai Kisan Party,0,12th Pass,"Rs 1,59,60,000","Rs 10,00,000, "
2482,Harmohan Dhawan,CHANDIGARH,AAP,0,Post Graduate,"Rs 24,30,11,000","Rs 0, "
2483,Harpal Singh,BATHINDA,IND,0,Graduate,"Rs 84,89,000","Rs 10,00,000, "
2484,Harpal Singh,PATIALA,Ambedkarite Party of India,0,Post Graduate,"Rs 24,37,000","Rs 0, "
2485,Harpreet Singh,GURDASPUR,IND,,10th Pass,"Rs 3,20,000","Rs 0, "
2486,Harsh Dev Singh,UDHAMPUR,Jammu & Kashmir National Panthers Party,,Post Graduate,"Rs 1,19,36,017","Rs 25,00,000, "
2487,Harsh Nath Verma,SOUTH DELHI,IND,0,8th Pass,"Rs 50,000","Rs 0, "
2488,Harsh Vardhan,CHANDNI CHOWK,BJP,0,Post Graduate,"Rs 3,01,71,897","Rs 0, "
2489,Harsh Vardhan Shukla,WEST DELHI,IND,0,Graduate Professional,"Rs 5,08,722","Rs 0, "
2490,Harshadkumar Laxmanbhai Solanki,AHMEDABAD WEST,Right to Recall Party,0,10th Pass,"Rs 1,49,586","Rs 0, "
2491,Harshwardhandada Raibhanji Jadhav,AURANGABAD,IND,,Graduate,"Rs 12,39,52,399","Rs 1,10,17,453, "
2492,Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,"Rs 2,17,99,19,870","Rs 95,48,52,600, "
2493,Harswaroop,HATHRAS,IND,0,8th Pass,"Rs 50,78,000","Rs 0, "
2494,Harun Rasheed,AMETHI,IND,0,Graduate,"Rs 2,05,87,132","Rs 51,90,998, "
2495,Hasan Raza,SAMBHAL,Rashtriya Ulama Council,0,Graduate,"Rs 4,18,000","Rs 0, "
2496,Haserul,KISHANGANJ,IND,0,5th Pass,"Rs 11,75,000","Rs 0, "
2497,Hashinabanu Tapalvale,DHARWAD,IND,0,Illiterate,"Rs 80,000","Rs 0, "
2498,Hasim Akhtar,MALDAHA DAKSHIN,IND,,Post Graduate,"Rs 27,43,074","Rs 0, "
2499,Hasnain Masoodi,ANANTNAG,Jammu & Kashmir National Conference,0,Post Graduate,"Rs 8,76,20,672","Rs 0, "
2500,Hatcholi Thomas	,KURNOOL,IND,0,10th Pass,"Rs 27,52,615","Rs 2,38,020, "
2501,Hatiram Durga,KALAHANDI,IND,0,12th Pass,"Rs 1,24,032","Rs 0, "
2502,Hayithung Tungoe,NAGALAND,NPP,0,Post Graduate,"Rs 12,65,882","Rs 0, "
2503,Heena Shahid,VARANASI,Janhit Bharat Party,0,Graduate,"Rs 5,85,000","Rs 0, "
2504,Heena Vijaykumar Gavit,NANDURBAR,BJP,0,Post Graduate,"Rs 27,16,34,532","Rs 1,52,91,251, "
2505,Heera Lal Shankhvar,DHANBAD,AIFB,0,Post Graduate,"Rs 91,36,000","Rs 25,000, "
2506,Hem Kanta Miri,LAKHIMPUR,SUCI(C),0,Graduate Professional,"Rs 2,56,271","Rs 0, "
2507,Hema Jha,MADHUBANI,IND,0,10th Pass,"Rs 1,08,74,083","Rs 0, "
2508,Hema Malini Dharmendra Deol,MATHURA,BJP,0,Doctorate,"Rs 2,50,82,70,292","Rs 13,12,88,062, "
2509,Hemant Baburao Kolekar Patil,BARAMATI,IND,,8th Pass,"Rs 5,05,95,000","Rs 9,00,000, "
2510,Hemant Baburao Kolekar Patil Alias Hemant Patil,PUNE,IND,,8th Pass,"Rs 5,05,95,000","Rs 9,00,000, "
2511,Hemant Kisan Patil,THANE,Sanatan Sanskriti Raksha Dal,0,8th Pass,"Rs 2,71,49,433","Rs 2,45,000, "
2512,Hemant Kumar,AMETHI,IND,0,Post Graduate,"Rs 57,77,986","Rs 0, "
2513,Hemant Kumar Singhvi,PALI,IND,0,Post Graduate,"Rs 1,61,22,848","Rs 2,95,236, "
2514,Hemant Tukaram Godse,NASHIK,SHS,,Others,"Rs 14,68,69,996","Rs 4,10,83,126, "
2515,Hemaraj Veerapur,KOPPAL,CPI(ML) Red Star,0,Graduate,"Rs 50,000","Rs 0, "
2516,Hemendra Gohar,CHHINDWARA,IND,,8th Pass,"Rs 46,000","Rs 0, "
2517,Hemendra Pal Singh,AONLA,IND,0,Post Graduate,"Rs 7,13,500","Rs 0, "
2518,Hemlal Murmu,RAJMAHAL,BJP,0,Graduate,"Rs 5,69,91,946","Rs 1,75,88,570, "
2519,Hemraj Paswan,LALGANJ,Pragatishil Samajwadi Party (Lohia),0,Post Graduate,"Rs 1,35,37,434","Rs 0, "
2520,Hemraj Verma,PILIBHIT,SP,,Graduate,"Rs 1,09,31,313","Rs 6,45,587, "
2521,Hena Shahab,SIWAN,RJD,,Graduate,"Rs 13,90,78,374","Rs 10,00,000, "
2522,Henry,ANDAMAN AND NICOBAR ISLANDS,IND,0,10th Pass,"Rs 56,459","Rs 0, "
2523,Hergovind,KOTA,IND,0,Post Graduate,"Rs 7,19,324","Rs 0, "
2524,Hibi Eden,ERNAKULAM,INC,,Graduate,"Rs 79,08,467","Rs 2,00,000, "
2525,Hidar Bhati,DURG,Sarvadharam Party,0,5th Pass,"Rs 16,67,000","Rs 0, "
2526,Hidayatulla Barakatulla Patel,AKOLA,INC,,10th Pass,"Rs 1,49,47,292","Rs 4,83,635, "
2527,Himadri Singh,SHAHDOL,BJP,0,Graduate,"Rs 3,65,64,408","Rs 17,36,289, "
2528,Himanshi,AGRA,Lok Gathbandhan Party,0,Graduate,"Rs 30,000","Rs 0, "
2529,Himmat Pandurang Koli,SANGLI,IND,,Others,"Rs 56,60,500","Rs 13,95,000, "
2530,Hira Singh Hanspur,SIRSA,Pragatishil Samajwadi Party (Lohia),0,10th Pass,"Rs 2,70,690","Rs 60,000, "
2531,Hiralal Rabidas,KARIMGANJ,IND,0,8th Pass,"Rs 54,53,171","Rs 0, "
2532,Hiramaniben,NAVSARI,Rashtriya Samaj Paksha,0,8th Pass,"Rs 1,86,000","Rs 13,00,000, "
