SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
1,Kaushal Yadav,NAWADA,JD(U),,Post Graduate,"Rs 15,45,66,136","Rs 26,04,969, "
2,M. Aamir Rashadi,AZAMGARH,Rashtriya Ulama Council,,Others,"Rs 21,91,523","Rs 0, "
3,Rakesh Kumar Giri,MAHARAJGANJ,IND,0,Graduate Professional,"Rs 3,06,023","Rs 0, "
4,(Kuppal)G.Devadoss,CHENNAI SOUTH,IND,0,8th Pass,"Rs 36,30,000","Rs 8,50,000, "
5,(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),GARHWAL,BJP,0,Graduate Professional,"Rs 4,43,57,368","Rs 0, "
6,A Biju,ALATHUR,IND,0,8th Pass,"Rs 5,64,425","Rs 1,75,000, "
7,A N Radhakrishnan,ERNAKULAM,BJP,0,Graduate,"Rs 78,13,475","Rs 0, "
8,A Nelson,SIVAGANGA,IND,0,12th Pass,"Rs 37,322","Rs 0, "
9,A P Jithender Reddy,MAHBUBNAGAR,TRS,,Graduate,"Rs 14,08,31,576","Rs 13,86,969, "
10,A Pandian,ANDAMAN AND NICOBAR ISLANDS,AIFB,0,12th Pass,"Rs 8,59,410","Rs 3,50,000, "
11,A Prasad,KOLAR,IND,0,10th Pass,"Rs 8,40,000","Rs 0, "
12,A Sampath,ATTINGAL,CPI(M),,Doctorate,"Rs 1,77,91,149","Rs 14,21,392, "
13,A Thavamani,MADURAI,BSP,0,Illiterate,"Rs 51,000","Rs 0, "
14,A Vijayaraghavan,KOZHIKODE,CPI(M),0,Graduate Professional,"Rs 57,57,792","Rs 1,52,305, "
15,A. Devadas,BELLARY,SUCI(C),0,10th Pass,"Rs 11,54,658","Rs 0, "
16,A. Irudayadass,CHENNAI SOUTH,IND,0,Graduate,"Rs 5,51,640","Rs 0, "
17,A. Jaiganesh,CHENNAI SOUTH,Lok Satta Party,0,Graduate,"Rs 58,55,905","Rs 0, "
18,A. Josekutty,KOLLAM,IND,0,10th Pass,"Rs 5,45,117","Rs 2,24,328, "
19,A. Magesh,CHENNAI SOUTH,IND,0,Graduate,"Rs 68,94,841","Rs 66,500, "
20,A. P. Shamseer,VADAKARA,IND,0,Literate,"Rs 55,620","Rs 0, "
21,A. Raghunath Varma,BERHAMPUR,IND,0,Post Graduate,"Rs 2,70,800","Rs 0, "
22,A. Shadhick Batcha,TIRUCHIRAPPALLI,IND,0,Post Graduate,"Rs 7,52,760","Rs 7,00,000, "
23,A.Arunmozhithevan,CUDDALORE,AIADMK,,Graduate Professional,"Rs 1,57,65,250","Rs 0, "
24,A.Baskar,CUDDALORE,IND,0,10th Pass,"Rs 11,00,000","Rs 0, "
25,A.Ganesan,ARANI,BSP,0,8th Pass,"Rs 21,10,000","Rs 0, "
26,A.Govindasamy,KALLAKURICHI,IND,0,8th Pass,"Rs 18,91,000","Rs 3,00,000, "
27,A.Hamid Sh. Habib,DHULE,IND,,8th Pass,"Rs 63,500","Rs 0, "
28,A.K. Aggarwal,NORTH EAST DELHI,Agar Jan Party,,10th Pass,"Rs 1,40,58,166","Rs 0, "
29,A.K. Aggarwal,VARANASI,Agar Jan Party,,10th Pass,"Rs 1,40,58,166","Rs 0, "
30,A.K. Mohan,DURG,AITC,0,10th Pass,"Rs 2,90,000","Rs 0, "
31,A.K.Moorthy,ARANI,PMK,0,Post Graduate,"Rs 5,52,71,210","Rs 1,70,08,423, "
32,A.K.Parashurama Kotemallur,DAVANAGERE,BSP,0,12th Pass,"Rs 2,15,000","Rs 0, "
33,A.K.Perumal,KALLAKURICHI,Jharkhand Mukti Morcha (Ulgulan),0,Post Graduate,"Rs 53,02,255","Rs 0, "
34,A.K.Salahudeen,KOLLAM,SDPI,,12th Pass,"Rs 65,62,365","Rs 0, "
35,A.K.Sheikdavood,TIRUPPUR,IND,0,Graduate,Nil,"Rs 0, "
36,A.Kannan,MADURAI,IND,0,8th Pass,"Rs 2,62,590","Rs 0, "
37,A.Krishnappa,TUMKUR,JD(S),0,Graduate,"Rs 70,18,33,242","Rs 17,50,31,509, "
38,A.M.H. Nazeem,PONDICHERRY,DMK,,12th Pass,"Rs 59,30,000","Rs 60,000, "
39,A.M.Smitha,VADAKARA,CPI(ML) Red star,0,Graduate,"Rs 22,000","Rs 0, "
40,A.Mahadevan,ARANI,IND,0,12th Pass,"Rs 5,77,000","Rs 0, "
41,A.Mogheeth Khan,TIRUPPUR,IND,0,Graduate,"Rs 32,53,500","Rs 14,75,000, "
42,A.P. Ahamad,HASSAN,BSP,0,Illiterate,"Rs 11,00,000","Rs 5,00,000, "
43,A.Ponnusamy,TIRUPPUR,IND,0,Literate,"Rs 15,81,000","Rs 0, "
44,A.R. Krishna Murthy,CHAMARAJANAGAR,BJP,0,Post Graduate,"Rs 4,12,81,286","Rs 28,86,427, "
45,A.Ramesh,VILUPPURAM,IND,0,10th Pass,"Rs 3,50,000","Rs 0, "
46,A.S.Dsilva,TUMKUR,AAP,0,Graduate,"Rs 3,32,29,897","Rs 0, "
47,A.Shajahan,KALLAKURICHI,IND,0,Graduate Professional,"Rs 44,02,000","Rs 3,25,000, "
48,A.T. Dadakhalandar,DAVANAGERE,IND,0,10th Pass,"Rs 36,042","Rs 19,623, "
49,A.V.Thamarakshan,ALAPPUZHA,Revolutionary Socialist Party of Kerala (B),,Post Graduate,"Rs 1,06,41,399","Rs 0, "
50,Aaftab Alam Khan,SANT KABIR NAGAR,AAP,0,Graduate Professional,"Rs 5,78,842","Rs 0, "
51,"Aaron Rashid, J.M.",THENI,INC,0,12th Pass,"Rs 64,96,32,943","Rs 83,18,576, "
52,Aasutosh Verma,GIRIDIH,AITC,0,Graduate Professional,"Rs 38,48,28,136","Rs 4,65,46,450, "
53,Aayar Muljibhai Khanabhai,AHMEDABAD WEST,IND,0,10th Pass,"Rs 4,30,286","Rs 0, "
54,Ab Hamid Malik,BARAMULLA,IND,0,Graduate Professional,"Rs 1,06,75,000","Rs 0, "
55,Abanindra Nath Baidya,MATHURAPUR,IND,0,10th Pass,"Rs 56,279","Rs 6,000, "
56,Abbas Hussain Shaikh,MUMBAI SOUTH CENTRAL,SP,,10th Pass,"Rs 79,67,355","Rs 2,58,960, "
57,Abbas Mothalappara,KASARAGOD,AITC,0,10th Pass,"Rs 1,02,000","Rs 0, "
58,Abburi Koteswara Rao,GUNTUR,Pyramid Party of India,0,10th Pass,"Rs 1,76,20,000","Rs 38,00,000, "
59,Abdul Ahad Mir,ANANTNAG,IND,0,12th Pass,"Rs 1,79,50,000","Rs 0, "
60,Abdul Aleem,HARDWAR,IND,0,Post Graduate,"Rs 62,58,320","Rs 0, "
61,Abdul Amir Amiro,CHANDNI CHOWK,IND,0,5th Pass,"Rs 41,22,551","Rs 0, "
62,Abdul Azeem,BANGALORE NORTH,JD(S),0,Post Graduate,"Rs 15,89,09,760","Rs 0, "
63,Abdul Aziz,NAGAUR,BSP,0,Graduate,"Rs 24,00,000","Rs 0, "
64,Abdul Aziz Bhartiya,JAIPUR,Rashtriya Ulama Council,0,Graduate,"Rs 67,000","Rs 0, "
65,Abdul Bari Siddiqui,MADHUBANI,RJD,,12th Pass,"Rs 1,63,43,817","Rs 27,18,221, "
66,Abdul Basit Ibrahim Faith,MUMBAI SOUTH,IND,0,Graduate,"Rs 8,88,656","Rs 0, "
