SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
43,Abdus Sayeed,Jangipur,IND,0,10th Pass,"Rs 5,78,826","Rs 0, "
44,Abedin Dr. Zainal,Raiganj,AITC,0,Doctorate,"Rs 16,24,216","Rs 0, "
45,ABEED HUSSAIN,Koppal,KNDP,0,10th Pass,"Rs 14,80,000","Rs 0, "
46,ABHA MAHTO,Jamshedpur,BJP,0,Graduate,"Rs 66,16,966","Rs 4,43,377, "
47,ABHAY RAJ KISHOR RAI,Chapra,BSP,,10th Pass,"Rs 6,51,500","Rs 1,03,000, "
48,ABHAY SINGH CHAUTALA,Kurukshetra,INLD,0,Graduate,"Rs 3,81,01,844","Rs 0, "
49,ABHIMANYU,Rohtak,BJP,0,Graduate,"Rs 4,43,75,405","Rs 0, "
50,Abhiram Besra,Bankura,JDP,0,Illiterate,"Rs 1,00,000","Rs 0, "
51,Abu Asim Siddique,Jangipur,IND,0,Graduate,"Rs 15,000","Rs 0, "
52,Abul Hasnat Khan,Jangipur,CPM,0,Post Graduate,"Rs 28,46,652","Rs 9,34,387, "
53,ACHAL SINGH,Fatehpur,SP,0,Post Graduate,"Rs 19,05,000","Rs 0, "
54,ACHANKOVIL RAJAN,Adoor,BSP,0,12th Pass,"Rs 20,000","Rs 0, "
55,ACHANTA BAPIRAJU,Secunderabad,IND,0,Graduate,"Rs 2,81,447","Rs 0, "
56,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 17,08,375","Rs 0, "
57,Achintya Majhi,Vishnupur,INC,0,Graduate,"Rs 67,264","Rs 50,050, "
58,Achintya Tarafdar,Raiganj,IND,0,Graduate,"Rs 3,11,000","Rs 0, "
59,AD. BRIJMOHAN KUSHWAHA,Khajuraho,BSP,0,Post Graduate,"Rs 8,42,500","Rs 0, "
60,ADAGALE BHAU RAMCHANDRA,Pune,IND,0,10th Pass,"Rs 1,05,000","Rs 0, "
61,ADAPALA SIVANNARAYANA,Machilipatnam,PPOI,0,Others,"Rs 2,98,906","Rs 0, "
62,ADHALARAO PATIL SHIVAJIRAO,Khed,SHS,0,Post Graduate,"Rs 5,22,30,281","Rs 1,23,32,651, "
63,Adhar Chandra Nahal,Contai,IND,0,Not Given,"Rs 27,000","Rs 0, "
64,Adhikari Suvendu,Tamluk,AITC,,Graduate,"Rs 63,52,353","Rs 0, "
65,Adhikary Binoy,Dum Dum,IND,0,Literate,"Rs 6,35,900","Rs 81,284, "
66,Adhir Ranjan Chowdhury,Berhampore,INC,,10th Pass,"Rs 1,93,95,174","Rs 0, "
67,ADITYA NATH,Gorakhpur,BJP,0,Graduate,"Rs 9,60,672","Rs 0, "
68,ADSUL ANANDRAO VITHOBA,Buldhana,SHS,,Graduate,"Rs 2,06,30,019","Rs 61,11,246, "
69,ADV  BABURAO BANDGAR,Latur,LRP,0,Post Graduate,"Rs 8,00,000","Rs 1,27,000, "
70,ADV G MURALEEDHARAN NADAR,Trivandrum,IND,0,Others,"Rs 10,500","Rs 1,35,000, "
71,ADV NAIKNAVARE PURUSHOTTAM BHAGVAN,Pandharpur,RSPS,0,Not Given,"Rs 39,26,538","Rs 55,319, "
72,ADV P C THOMAS (PEEDIAKKAL),Muvattupuzha,IND,0,Others,"Rs 57,92,358","Rs 12,32,406, "
73,ADV P M ISMAIL,Muvattupuzha,CPM,,Graduate,"Rs 18,24,407","Rs 0, "
74,ADV S PRAHALADAN,Quilon,BSP,0,Not Given,"Rs 12,11,000","Rs 93,359, "
75,ADV SAJI K CHERAMAN,Mavelikara,BSP,0,Others,"Rs 67,194","Rs 0, "
76,ADV T K MANOJ,Mukundapuram,BSP,0,Others,"Rs 10,200","Rs 0, "
77,ADV V BALAKRISHNA SHETTY,Kasaragod,BJP,,Post Graduate,"Rs 33,72,885","Rs 24,372, "
78,ADV V BALARAM,Calicut,INC,0,Graduate Professional,"Rs 46,05,641","Rs 11,57,438, "
79,ADV V C ZACHARIAH,Mavelikara,SLAP,0,Others,"Rs 31,31,206","Rs 1,360, "
80,ADV.  LAXMAN NARHARI SHINDE,Latur,BSP,0,Graduate Professional,"Rs 6,55,000","Rs 0, "
81,ADV. AMIN SOLKAR,Mumbai South,SP,0,Post Graduate,"Rs 10,75,000","Rs 0, "
82,ADV. C. S. BAHETI,Nanded,JP,0,Post Graduate,"Rs 31,05,500","Rs 16,42,400, "
83,ADV. CHINTAMAN WANGA,Dahanu,BJP,,Graduate Professional,"Rs 13,11,506","Rs 50,000, "
84,ADV. DADASAHEB ALIAS BHIKAJI WALTHARE,Chimur,BBM,0,Post Graduate,"Rs 5,28,886","Rs 0, "
85,ADV. DEELIP PRABHAKARRAO KULKARNI (PHULVALKAR),Nanded,IND,0,Post Graduate,"Rs 10,28,800","Rs 0, "
86,ADV. EKNATH BAVANKAR,Chimur,SP,0,Post Graduate,"Rs 1,19,930","Rs 0, "
87,ADV. KAMBLE PRABHAKAR MANSING,Karad,BSP,0,Post Graduate,"Rs 5,32,498","Rs 0, "
88,ADV. PANKAJ KOWLI,Ratnagiri,PWPI,0,Post Graduate,"Rs 15,07,000","Rs 0, "
89,ADV. PUNJABRAO RAMDHAN CHAVAN,Hingoli,IND,0,Post Graduate,Nil,"Rs 0, "
90,ADV. RAMESH SAKHARAM NAIK,Panaji,IND,0,Graduate Professional,"Rs 29,74,500","Rs 4,20,000, "
91,ADV. SUHASE MADHUKAR MALLAPPA,Sangli,BSP,0,Post Graduate,"Rs 75,000","Rs 0, "
92,ADV. T B MINI,Ernakulam,IND,0,Post Graduate,"Rs 2,60,900","Rs 0, "
93,ADV. THENGRI NATTHUJI NARAYAN,Chimur,RLD,0,Post Graduate,"Rs 12,00,184","Rs 77,090, "
94,ADV. VASANTRAO JEEVANRAO MORE,Erandol,NCP,,Graduate Professional,"Rs 1,58,46,533","Rs 18,23,686, "
95,ADVOCATE GHULAM NABI LONE,Srinagar,JKPDP,0,Post Graduate,"Rs 3,64,000","Rs 4,17,458, "
96,ADVOCATE J R PADMAKUMAR,Chirayinkil,BJP,,Post Graduate,"Rs 24,75,683","Rs 3,28,960, "
97,ADVOCATE JACOB JOHN,Kottayam,BSP,0,Graduate,"Rs 5,00,000","Rs 0, "
98,ADVOCATE S. K. DUBEY,Mumbai North East,SP,0,Post Graduate,"Rs 53,24,181","Rs 0, "
99,ADVOCATE V PADMANABHAN,Alleppey,BJP,0,Post Graduate,"Rs 10,60,214","Rs 12,000, "
100,AFAJAL ANSARI,Ghazipur,SP,,Post Graduate,"Rs 50,85,464","Rs 38,022, "
101,AFROZ ALI KHAN,Rampur,BSP,0,Not Given,"Rs 32,90,000","Rs 4,50,537, "
102,AFZALUR RAHMAN,Dhubri,AGP,0,Graduate,"Rs 33,28,400","Rs 5,23,000, "
103,AGADI VIRUPAXAPPA SANGANNA,Koppal,JD(S),0,Graduate,"Rs 32,90,000","Rs 5,02,053, "
104,AGARWAL RAMESH PANDURANG,Yavatmal,BSP,0,Graduate,"Rs 20,60,000","Rs 10,15,000, "
105,AGRAWAL B. R. KUMAR,Mumbai North,SP,0,10th Pass,"Rs 28,02,000","Rs 0, "
106,Ahindra Basu,Dum Dum,IND,0,Graduate,"Rs 13,38,850","Rs 1,18,149, "
107,AHIR  VIKRAMBHAI,Jamnagar,INC,0,Graduate,"Rs 48,37,028","Rs 5,74,600, "
108,AHIR HANSRAJ GANGARAM,Chandrapur,BJP,,10th Pass,"Rs 26,53,960","Rs 0, "
109,AHIR SACHIN,Mumbai South Central,NCP,,12th Pass,"Rs 1,70,95,592","Rs 40,325, "
110,AHIVARAN LAL,Shahjahanpur,IND,0,10th Pass,"Rs 2,20,000","Rs 2,600, "
111,Ahmed Sultan,Katwa,AITC,0,Graduate,"Rs 34,10,196","Rs 48,45,009, "
112,AIJAZ AHMED FAROOQUI,Hassan,BSP,0,12th Pass,"Rs 2,35,000","Rs 2,00,000, "
113,AJABLAL,Bhandara,BSP,,Post Graduate,"Rs 75,000","Rs 0, "
114,AJAY,Sambhal,IND,0,12th Pass,"Rs 50,000","Rs 0, "
115,AJAY,Ghazipur,Suheldev Bhartiya Samaj Party,0,Graduate,"Rs 98,000","Rs 0, "
116,Ajay Chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672","Rs 0, "
117,AJAY CHATURVEDI,Lucknow,IND,0,Graduate,"Rs 7,46,795","Rs 0, "
118,AJAY DANIEL ( TINKU ),Ferozepur,IND,0,12th Pass,Nil,"Rs 0, "
119,AJAY KUMAR,Mahendragarh,RVP,0,Graduate,"Rs 25,50,678","Rs 0, "
120,AJAY KUMAR,Rohtak,IND,0,Graduate,"Rs 76,056","Rs 0, "
121,AJAY KUMAR BHADANI,Jahanabad,IND,0,Graduate,"Rs 5,000","Rs 0, "
122,AJAY KUMAR CHOUDHARY,Gaya,IND,0,Doctorate,"Rs 5,652","Rs 63,000, "
123,AJAY KUMAR PANDEY,Sheohar,IND,0,10th Pass,"Rs 50,000","Rs 0, "
124,AJAY KUMAR PANDEY,Lucknow,IND,0,Graduate Professional,"Rs 68,608","Rs 0, "
125,AJAY KUMAR PURBE,Madhubani,SP,0,Others,"Rs 46,01,993","Rs 0, "
126,AJAY MAKAN,New Delhi,INC,,Post Graduate,"Rs 3,02,34,158","Rs 6,50,000, "
127,AJAY PAL,Shahjahanpur,PSJP,0,10th Pass,"Rs 1,65,000","Rs 0, "
128,AJAY SINGH,Rohtak,AIFB,0,12th Pass,"Rs 45,14,500","Rs 58,000, "
129,AJAY SINGH CHAUTALA,Bhiwani,INLD,0,Post Graduate,"Rs 7,66,71,616","Rs 8,61,800, "
130,AJEET MOHAN,Kanpur,IND,0,Post Graduate,"Rs 62,70,870","Rs 2,78,945, "
131,AJEET SINGH,Ghazipur,IND,0,Post Graduate,"Rs 6,80,228","Rs 0, "
132,AJEET SINGH PARMAR,Hoshiarpur,Samajwadi Janata Party (Rashtriya),0,Graduate,"Rs 1,75,000","Rs 0, "
133,AJEYA MADHAV SHANBHAG,Kanara,IND,0,Graduate,"Rs 5,00,200","Rs 0, "
134,AJIT  JOGI,Mahasamund,INC,,Graduate Professional,"Rs 88,35,009","Rs 0, "
135,Ajit Das,Raiganj,CPI(ML)(L),,Graduate,"Rs 4,31,340","Rs 0, "
136,Ajit Das,Tamluk,BSP,0,Post Graduate,"Rs 5,95,000","Rs 0, "
137,"Ajit Kumar Panja ( Mamudpur, P.s- Chandrakona, Ghatal, West Medinipur)",Calcutta North East,IND,0,Others,"Rs 15,000","Rs 0, "
138,"Ajit Kumar Panja (250, Chittaranjan Avenue, Kolkata-700 006)",Calcutta North East,AITC,0,Others,"Rs 1,63,54,802","Rs 0, "
139,AJIT KUMAR SINGH,Bikramganj,JD(U),0,Post Graduate,"Rs 1,43,62,110","Rs 0, "
140,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683","Rs 14,56,567, "
141,Ajoy Bauri,Vishnupur,BSP,0,Not Given,"Rs 35,000","Rs 0, "
142,Ajoy Ghora,Basirhat,IND,0,5th Pass,"Rs 1,86,612","Rs 0, "
143,Ajoy Kumar Tudu,Purulia,JDP,0,Others,"Rs 2,65,000","Rs 0, "
144,AKBAR AHMED DEMPI,Bareilly,BSP,,Graduate,"Rs 1,61,24,683","Rs 1,15,000, "
145,Akbar Ali Khandoker,Serampore,AITC,0,Graduate,"Rs 30,35,064","Rs 3,36,323, "
146,AKBAR HUSAIN,Bettiah,IND,0,Graduate,"Rs 68,000","Rs 0, "
147,AKHIL BHARATIYA SHARMA,Bhagalpur,IND,0,Others,"Rs 10,000","Rs 0, "
148,AKHILES PRASAD SINGH,Motihari,RJD,0,Post Graduate,"Rs 36,69,358","Rs 0, "
149,AKHILESH,Maharajganj,SP,,Graduate,"Rs 43,31,272","Rs 3,50,000, "
150,AKHILESH KUMAR,Bahraich,IND,0,12th Pass,"Rs 14,24,185","Rs 75,459, "
151,AKHILESH YADAV,Kannauj,SP,0,Post Graduate,"Rs 2,31,42,705","Rs 0, "
152,AKHILESHWAR NANDLAL CHOUBEY,Mumbai North,BSP,,10th Pass,"Rs 32,82,700","Rs 0, "
153,AKHLAQ AHMAD GULSHAN,Ghosi,PSJP,0,Others,"Rs 4,13,000","Rs 0, "
154,AKHTAR HUSAIN,Faridabad,IND,0,12th Pass,"Rs 1,93,000","Rs 43,000, "
155,AKSHAY KUMAR RAJBHAR,Ghosi,SBSP,0,12th Pass,"Rs 1,75,000","Rs 0, "
156,AKSHAY PRATAP SINGH (GOPAL JI),Pratapgarh,SP,,Literate,"Rs 21,69,847","Rs 0, "
157,Alakesh Das,Nabadwip,CPM,0,Post Graduate,"Rs 2,78,876","Rs 18,382, "
158,ALAKH MOHAN MATHUR,Mahendragarh,IND,0,Not Given,"Rs 82,91,471","Rs 15,04,000, "
159,ALAUDDEEN KHAN,Aonla,INC,0,Doctorate,"Rs 12,96,444","Rs 0, "
160,ALEMAO CHURCHIL BRAZ,Mormugao,INC,,12th Pass,"Rs 86,75,904","Rs 81,72,004, "
161,ALEY HASAN,Amroha,BSP,0,Not Given,"Rs 1,70,38,963","Rs 0, "
162,ALIM,Chandni Chowk,IND,0,5th Pass,"Rs 2,00,00,80,500","Rs 0, "
163,ALLA RAMA CHANDRA REDDY,Ongole,IND,0,5th Pass,"Rs 9,00,000","Rs 25,000, "
164,ALLURI YUGANDHARA  RAJU,Narasapur,PPOI,0,Post Graduate,"Rs 4,51,000","Rs 0, "
165,ALOK KUMAR MEHTA,Samastipur,RJD,0,Graduate Professional,"Rs 67,94,434","Rs 0, "
166,ALOK SEN,Silchar,SAP,0,Graduate,"Rs 91,349","Rs 0, "
167,Aloke Ghosh,Howrah,IND,0,Not Given,"Rs 3,59,522","Rs 0, "
168,ALTAF AHMED,Bhopal,IND,0,10th Pass,Rs 500,"Rs 0, "
169,ALTAF AHMED SAANI SK. AMIR,Nanded,LRP,0,10th Pass,"Rs 5,00,000","Rs 0, "
170,ALVA MARGARET,Kanara,INC,0,Graduate,"Rs 89,30,000","Rs 63,000, "
171,Amal Kumar Sen,Barrackpore,IND,0,Graduate,"Rs 82,200","Rs 0, "
172,AMAN KUMAR NAGRA,Ambala,HVP,0,Literate,"Rs 3,59,183","Rs 0, "
173,AMAR NATH YADAV,Siwan,CPI(ML)(L),,Illiterate,"Rs 4,17,367","Rs 4,97,028, "
174,AMAR RAGHUNATH GAIKWAD,Satara,BSP,0,Not Given,"Rs 4,64,000","Rs 1,00,000, "
175,Amar Roy Pradhan,Cooch Behar,IND,0,Others,"Rs 4,23,833","Rs 1,50,000, "
176,AMAR SINGH,East Delhi,LP(S),0,Others,"Rs 7,15,000","Rs 0, "
177,AMARJEET KAUR,Outer Delhi,IND,0,Not Given,"Rs 7,80,836","Rs 2,00,000, "
178,AMARKANT RANA,Kairana,BJP,0,Post Graduate,"Rs 68,93,843","Rs 7,63,139, "
179,AMARNATH,Allahabad,IND,0,Others,Nil,"Rs 0, "
180,AMARPAL SINGH,Muzaffarnagar,BJP,0,Graduate,"Rs 89,08,477","Rs 2,52,082, "
181,AMARSINH VASANTRAO PATIL,Belgaum,INC,0,Post Graduate,"Rs 79,48,439","Rs 28,57,650, "
182,AMART LAL RAGHUWAR,Chhindwara,SVSP,0,10th Pass,"Rs 13,15,900","Rs 0, "
183,AMBAREESH M. H.,Mandya,INC,0,Not Given,"Rs 73,94,819","Rs 3,21,600, "
184,AMBATI BRAHMANAIAH,Machilipatnam,TDP,0,Post Graduate,"Rs 15,46,471","Rs 1,68,301, "
185,AMBEDKAR PRAKASH YASHWANT,Akola,BBM,0,Post Graduate,"Rs 46,18,600","Rs 12,63,468, "
186,AMEER HAIDER KHAN,Balrampur,AIMF,0,Not Given,"Rs 50,200","Rs 0, "
187,AMEER PUTHIYATHANODA,Lakshadweep,SP,0,12th Pass,"Rs 1,73,475","Rs 45,000, "
188,AMI LAL,Sirsa,RVP,0,Not Given,"Rs 4,06,500","Rs 0, "
189,AMIRUDDIN,Padrauna,AD,0,12th Pass,"Rs 5,83,700","Rs 0, "
190,AMIT KUMAR ALBELA,Patna,IND,0,Graduate,"Rs 2,33,764","Rs 0, "
191,AMIT KUMAR JATAV,Meerut,IND,0,8th Pass,Nil,"Rs 0, "
192,Amit Sundar Purkait,Diamond Harbour,IND,,Not Given,"Rs 5,000","Rs 0, "
193,AMIT WHIG,Chandni Chowk,IND,0,Graduate,"Rs 4,17,000","Rs 2,60,000, "
194,AMITABH MANDLOI,Khandwa,INC,0,Graduate Professional,"Rs 58,24,912","Rs 54,609, "
195,Amitava Nandy,Dum Dum,CPM,0,12th Pass,"Rs 29,35,137","Rs 0, "
196,Amitosh Biswas,Nabadwip,IND,0,Graduate,"Rs 1,76,000","Rs 0, "
197,AMIYA KANTA MALLIK,Jajpur,INC,0,Graduate,"Rs 48,05,000","Rs 9,647, "
198,AMKAR GYANIRAM BAJIRAO,Bhandara,IND,0,Graduate,"Rs 2,15,000","Rs 2,20,400, "
199,AMP YADAV,Banka,IND,0,Not Given,"Rs 63,500","Rs 0, "
200,AMRARAM,Sikar,CPM,0,Post Graduate,"Rs 6,27,000","Rs 0, "
201,AMRIT BORGOHAIN,Dibrugarh,IND,0,Post Graduate,"Rs 14,80,000","Rs 0, "
202,AMRIT TIRKEY,Raigarh,SP,0,Not Given,"Rs 50,000","Rs 0, "
203,AMTE VINOD RAMCHANDRA,Pune,IND,0,Graduate,"Rs 24,86,000","Rs 4,70,000, "
204,ANADI SAHU,Berhampur,BJP,0,Graduate,"Rs 15,25,000","Rs 0, "
205,ANAND BALIRAM GAIKWAD,Yavatmal,BBM,0,Graduate,"Rs 1,30,000","Rs 27,000, "
206,ANAND MOHAN,Monghyr,SPVD,0,Literate,"Rs 1,28,29,826","Rs 0, "
207,ANAND MOHAN SINGH,Sheohar,BPSP,,12th Pass,"Rs 10,66,000","Rs 6,58,785, "
208,ANAND PAL,Kairana,IND,0,Post Graduate,"Rs 18,60,000","Rs 0, "
209,ANAND PRAKASH GAUTAM,Bara Banki,INC,0,Post Graduate,"Rs 11,07,899","Rs 0, "
210,ANAND RATNA MAURYA,Chandauli,SP,0,Graduate Professional,"Rs 43,82,627","Rs 2,61,760, "
211,ANAND RAVINDER SINGH,Mumbai North West,IND,0,10th Pass,Nil,"Rs 0, "
212,ANANDI MAHTO,Barh,BSP,0,10th Pass,"Rs 9,53,000","Rs 40,000, "
213,ANANDRAO CHINDHAJI LAHANE,Buldhana,RLD,0,Graduate,"Rs 35,00,000","Rs 0, "
214,ANANDRAO TUKARAM THORAT,Karad,IND,0,Graduate,"Rs 8,62,000","Rs 95, "
215,ANANT GEETE,Ratnagiri,SHS,0,12th Pass,"Rs 55,18,754","Rs 12,00,000, "
216,ANANT GUDHE,Amravati,SHS,0,Graduate,"Rs 35,32,477","Rs 2,17,263, "
217,ANANT LAL SADA,Madhepura,SP,0,Post Graduate,"Rs 1,25,750","Rs 2,260, "
218,ANANT PD. TULSYAN,Muzaffarpur,ABHM,0,10th Pass,"Rs 15,771","Rs 0, "
219,ANANTA NAYAK,Keonjhar,BJP,0,12th Pass,"Rs 8,18,420","Rs 69,086, "
220,ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,"Rs 38,90,000","Rs 4,37,636, "
221,ANANTHKUMAR HEGDE,Kanara,BJP,,12th Pass,"Rs 12,06,000","Rs 1,34,01,653, "
222,ANAR SINGH,Baghpat,BRPP,,Literate,"Rs 35,000","Rs 0, "
223,ANGAD KUMAR,Faizabad,IND,0,Graduate,"Rs 1,50,000","Rs 0, "
224,ANGADI SURESH CHANABASAPPA,Belgaum,BJP,0,Graduate Professional,"Rs 4,74,66,695","Rs 88,52,490, "
225,ANGLE RAMAKANT SOIRU,Mormugao,BJP,0,Graduate,"Rs 6,82,49,462","Rs 1,54,31,905, "
226,ANGREJ SINGH JOON,Karnal,RGD,0,Graduate Professional,"Rs 98,000","Rs 30,000, "
227,Angshuman Paul,Calcutta North East,IND,0,Not Given,Nil,"Rs 0, "
228,Anil Basu,Arambagh,CPM,0,Literate,"Rs 10,42,327","Rs 0, "
229,ANIL BHARTI,Outer Delhi,RVNP,0,Post Graduate,Nil,"Rs 0, "
230,Anil Biswas,Raiganj,BSP,0,Not Given,Nil,"Rs 0, "
231,ANIL CHOUDHURY,Kaliabor,LJNSP,0,10th Pass,"Rs 2,55,020","Rs 0, "
232,ANIL GOGIA,Outer Delhi,IND,0,12th Pass,"Rs 15,72,000","Rs 2,242, "
233,ANIL GULABRAO WANKHEDE,Buldhana,IND,0,Post Graduate,"Rs 74,000","Rs 70,754, "
234,ANIL KUMAR,Aonla,IND,0,Graduate Professional,"Rs 32,78,400","Rs 7,63,639, "
235,ANIL KUMAR,Etawah,IND,0,Not Given,"Rs 75,000","Rs 0, "
236,ANIL KUMAR,Ghazipur,IND,0,Graduate Professional,"Rs 59,500","Rs 0, "
237,ANIL KUMAR BHARTI,Bhopal,ABHM,0,Post Graduate,"Rs 31,028","Rs 0, "
238,ANIL KUMAR CHADHA,Delhi Sadar,IND,0,12th Pass,"Rs 2,69,908","Rs 0, "
239,Anil Kumar Choudhury,Purulia,JD(U),0,Post Graduate,"Rs 10,63,586","Rs 0, "
240,ANIL KUMAR SHARMA,East Delhi,LPI(V),0,Graduate,"Rs 27,85,030","Rs 0, "
241,ANIL RAO,Mahendragarh,HVP,0,Post Graduate,"Rs 46,83,059","Rs 0, "
242,ANIL RASTOGI,Meerut,SHS,0,12th Pass,"Rs 24,26,835","Rs 1,050, "
243,Anindya Gopal Mitra,Burdwan,BJP,0,12th Pass,"Rs 2,83,000","Rs 0, "
244,ANIRUDH PRASAD ALIAS SADHU YADAV,Gopalganj,RJD,,Graduate,"Rs 52,34,219","Rs 4,43,268, "
245,ANIS AHMAD KHAN ALIAS PHOOL BABU,Pilibhit,BSP,0,Graduate,"Rs 34,58,530","Rs 3,65,931, "
246,Anisur Rahman,Jadavpur,INL,0,Post Graduate,"Rs 78,200","Rs 0, "
247,ANITA ARYA,Karol Bagh,BJP,0,Doctorate,"Rs 7,58,485","Rs 0, "
248,ANITA NAIK,Mumbai North,NSTP,0,10th Pass,"Rs 27,55,800","Rs 0, "
249,ANITA VERMA,Hardoi,BJP,0,Not Given,"Rs 56,96,557","Rs 2,44,849, "
250,Anjan Adhikary,Barasat,IND,0,Others,"Rs 1,89,051","Rs 0, "
251,ANN KUMAR,Aurangabad,AD,0,Literate,Nil,"Rs 0, "
252,ANNASAHEB M. K. PATIL,Erandol,BJP,0,Post Graduate,"Rs 44,92,440","Rs 9,44,685, "
253,ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,"Rs 97,09,190","Rs 11,60,909, "
254,ANOOP SAXENA,Budaun,JP,0,12th Pass,"Rs 54,000","Rs 0, "
255,ANOOP SINGH,Rohtak,RVP,0,10th Pass,"Rs 3,39,070","Rs 0, "
256,ANOOP SINGH MATANHAIL,Rohtak,IND,0,10th Pass,"Rs 4,26,152","Rs 0, "
257,ANSARI HUSAIN AHMED,Mumbai South Central,Muslim League Kerala State Committee,0,10th Pass,"Rs 12,00,000","Rs 0, "
