SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
1,(AIDS MAN) PRAKASH TATERAO LANDGE,Nanded,IND,0,Graduate,"Rs 50,000","Rs 0, "
2,(NAIK) DEVKATTE VENKATRAO NARSINGRAO,Nanded,RSPS,0,Graduate,Nil,"Rs 0, "
3,A ANSARI,Chirayinkil,IND,0,10th Pass,"Rs 1,10,000","Rs 0, "
4,A C JOSE,Trichur,INC,0,Post Graduate,"Rs 63,73,035","Rs 6,84,351, "
5,A C VARKEY,Calicut,IND,,Not Given,"Rs 30,000","Rs 21,530, "
6,A K BISWAS,Andaman & Nicobar Islands,BSP,0,Graduate,"Rs 78,76,500","Rs 65,000, "
7,A K SUBBAIAH,Mangalore,JD(S),0,Graduate,"Rs 81,50,000","Rs 10,00,000, "
8,A S GURUSWAMY,Mysore,JD(S),0,Post Graduate,"Rs 69,95,093","Rs 1,20,000, "
9,A SIDDARAJU,Chamarajanagar,INC,0,Post Graduate,"Rs 21,64,500","Rs 3,00,000, "
10,A V K MOOSAD,Calicut,IND,0,10th Pass,"Rs 6,16,403","Rs 368, "
11,A. B. A. Ghani Khan Choudhury,Malda,INC,,Graduate,"Rs 41,15,704","Rs 41,87,744, "
12,A. C  V. SUBBAIAH,Nandyal,BSP,0,Graduate,"Rs 1,00,000","Rs 0, "
13,A. F. GOLAM OSMANI,Barpeta,INC,0,Graduate Professional,"Rs 10,05,000","Rs 0, "
14,A. JAGAN MOHAN RAO,Anantapur,TRS,0,Graduate,"Rs 5,05,000","Rs 0, "
15,A. K. ROY,Dhanbad,MCO,,Post Graduate,"Rs 76,803","Rs 0, "
16,A. NARENDRA,Medak,TRS,0,Graduate,"Rs 20,20,000","Rs 5,00,000, "
17,A. R. ANTULAY,Kolaba,INC,0,Graduate Professional,"Rs 2,84,68,000","Rs 0, "
18,A. R. ANTULAY,Kolaba,IND,0,5th Pass,"Rs 58,000","Rs 0, "
19,A. RASHEED MAMU,Dahanu,RSNP,0,10th Pass,"Rs 21,07,352","Rs 0, "
20,A.MALLA RAO,Chittoor,TRS,0,Others,"Rs 3,55,000","Rs 0, "
21,A.NAGESWARA RAO,Nalgonda,PPOI,0,Graduate,"Rs 6,45,000","Rs 0, "
22,A.VENKATESH NAIK,Raichur,INC,0,12th Pass,"Rs 56,15,514","Rs 4,47,987, "
23,AADIL KHAN,Chhindwara,IND,0,5th Pass,"Rs 1,00,000","Rs 0, "
24,AAJU RAM CHANDRAVANSHI,Rajnandgaon,IND,0,Not Given,"Rs 19,42,442","Rs 25,000, "
25,AAN HEMANT KUSHWAHA,Chandauli,RSMD,0,12th Pass,"Rs 8,34,500","Rs 0, "
26,AARI NOORMOHD KASIMSAHAB,Bagalkot,BSP,0,Not Given,"Rs 2,80,000","Rs 0, "
27,AARON RASHID J. M.,Periyakulam,INC,0,10th Pass,"Rs 15,20,98,686","Rs 22,53,320, "
28,AARTI MEHTA,Mumbai North West,IND,0,Graduate,"Rs 1,56,00,000","Rs 0, "
29,AASHUTOSH KUMAR SINGH,Aurangabad,IND,0,10th Pass,"Rs 8,07,000","Rs 90,000, "
30,AB. MAJEED NAIKOO,Anantnag,IND,0,Illiterate,Nil,"Rs 0, "
31,ABDUL JALIL MASTAN,Kishanganj,SP,0,12th Pass,"Rs 13,78,489","Rs 2,02,500, "
32,ABDUL KARIM,Hapur,MUL,0,5th Pass,"Rs 20,75,000","Rs 1,000, "
33,ABDUL MAJED QURESHI ALIAS KAISER QURESHI,Aurangabad,National Loktantrik Party,0,10th Pass,"Rs 80,000","Rs 0, "
34,ABDUL MAJEED MASTER,Trichur,IND,0,Graduate,"Rs 17,55,154","Rs 43,550, "
35,ABDUL MALIK CHOUDHRY,Mumbai South Central,BSP,0,8th Pass,"Rs 1,10,000","Rs 14,500, "
36,ABDUL RASHID LONE,Srinagar,IND,0,Literate,Nil,"Rs 0, "
37,ABDUL RASHID SHAHEEN,Baramulla,JKN,0,Post Graduate,"Rs 1,71,74,843","Rs 10,56,615, "
38,ABDUL SATTAR MOHAMMEDSAB ATTAR,Mumbai North East,KKJHS,0,Not Given,"Rs 5,80,000","Rs 0, "
39,Abdur Rauf Baidya,Diamond Harbour,IND,,Not Given,"Rs 76,165","Rs 0, "
40,ABDUS  SALAM,Barpeta,LJNSP,0,Not Given,"Rs 1,60,000","Rs 0, "
41,ABDUS SAMAD AHMED,Barpeta,UMFA,,Doctorate,"Rs 10,40,000","Rs 0, "
42,ABDUS SATTAR MUJAHED,Secunderabad,Muslim League Kerala State Committee,0,Not Given,"Rs 80,000","Rs 0, "
