ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,PARTYABBRE,TOTVOTPOLL,POSITION
S01,ANDHRA PRADESH,1,Srikakulam,GEN,7,1999,Yerrannaidu Kinjarapu,M,TDP,373851,1
S01,ANDHRA PRADESH,1,Srikakulam,GEN,7,1999,Kanithi Viswanadaham,M,INC,276969,2
S01,ANDHRA PRADESH,1,Srikakulam,GEN,7,1999,Appala Naidu Golive,M,AJBP,7280,3
S01,ANDHRA PRADESH,2,Parvathipuram,ST,7,1999,Dadichiluka Veera Gouri Sankara Rao,M,TDP,304000,1
S01,ANDHRA PRADESH,2,Parvathipuram,ST,7,1999,Kishore Chandra Suryanarayana Deo Vyricherla,M,INC,290719,2
S01,ANDHRA PRADESH,2,Parvathipuram,ST,7,1999,Arika Gumpa Swamy,M,IND,9750,3
S01,ANDHRA PRADESH,2,Parvathipuram,ST,7,1999,Vooyaka Mutyalu,M,IND,9172,4
S01,ANDHRA PRADESH,3,Bobbili,GEN,7,1999,Botcha Satyanarayana,M,INC,339768,1
S01,ANDHRA PRADESH,3,Bobbili,GEN,7,1999,Aruna Padala,F,TDP,335947,2
S01,ANDHRA PRADESH,3,Bobbili,GEN,7,1999,Manjula  Dasari,F,AJBP,16425,3
S01,ANDHRA PRADESH,3,Bobbili,GEN,7,1999,Enumula Appa Rao,M,IND,2010,4
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,7,1999,M.V.V.S.Murthy,M,TDP,442036,1
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,7,1999,T.Subbarami Reddy,M,INC,403117,2
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,7,1999,Ch.Narsinga Rao,M,CPM,26610,3
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,7,1999,Navish Yadav(T.N.V.Murthi B.E.),M,SP,9377,4
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,7,1999,Appa Rao Gudivada,M,IND,2263,5
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,7,1999,Nanduri Pani,M,IND,1458,6
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,7,1999,Dumpa Mary Vijaya Kumari,F,TDP,293593,1
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,7,1999,T.Ratnabai,F,INC,256490,2
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,7,1999,Ramaiah Sode,M,CPI,122496,3
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,7,1999,Pangi Satyanarayana,M,NTRTDP(LP),24425,4
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,7,1999,K. Ranga Reddy,M,IND,16893,5
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,7,1999,Kurasam Subba Rao,M,IND,14659,6
S01,ANDHRA PRADESH,6,Anakapalli,GEN,7,1999,Ganta Srinivasa Rao,M,TDP,392984,1
S01,ANDHRA PRADESH,6,Anakapalli,GEN,7,1999,Gurunadha Rao Gudivada,M,INC,334520,2
S01,ANDHRA PRADESH,6,Anakapalli,GEN,7,1999,Appala Trinadha Rao Bheesetti,M,ATDP,13918,3
S01,ANDHRA PRADESH,6,Anakapalli,GEN,7,1999,Choday Srinivasa Rao,M,NTRTDP(LP),3562,4
S01,ANDHRA PRADESH,7,Kakinada,GEN,7,1999,Mudragada Padmanabham,M,TDP,435811,1
S01,ANDHRA PRADESH,7,Kakinada,GEN,7,1999,Thota Subbarao,M,INC,314376,2
S01,ANDHRA PRADESH,7,Kakinada,GEN,7,1999,Boddu Krishna Mohan,M,ATDP,44466,3
S01,ANDHRA PRADESH,7,Kakinada,GEN,7,1999,Nainalasetti Murthy,M,CPI(ML)(L),8855,4
S01,ANDHRA PRADESH,7,Kakinada,GEN,7,1999,Pachipala Rama Prakash,M,IND,6210,5
S01,ANDHRA PRADESH,7,Kakinada,GEN,7,1999,Chandrasekhararao P.,M,IND,1502,6
S01,ANDHRA PRADESH,7,Kakinada,GEN,7,1999,Mutyala Ramalinga Chowdary,M,AJBP,1321,7
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,7,1999,Satyanarayana Rao S.B.P.B.K,M,BJP,411956,1
